barrio,Arriendo
la milagrosa,6
oviedo,32
castropol,243
el poblado,412
florida nueva,29
conquistadores,74
aguacatala,25
los parra,32
poblado,208
patio bonito,118
santa m de los angeles,72
manila,13
loma los gonzalez,63
san lucas,81
la tomatera,21
belen aliadas,2
la florida,27
los balsos,190
los colores,76
la linde,22
el diamante,14
el campestre,47
alejandria,58
medellin,167
belen miravalle,4
belen buena vista,1
loma de los bernal,59
belen las playas,1
belen parque,6
laureles,265
la castellana,82
belen rosales,46
12 de octubre,5
rodeo alto,26
calasanz,183
el salvador,17
salvador,5
transv inferior,23
san javier,33
belen la gloria,3
san lucas poblado,1
belen la nubia,1
los naranjos,7
belen,50
provenza,23
santa monica,26
guayabal,23
el tesoro,128
loma de los parra,10
boston,27
transversal inferior,3
santa lucia,19
velodromo,20
robledo,193
la frontera,36
malibu,1
santa maria de los angeles,37
suramericana,13
santa monica,13
alejandria,13
belen,48
carlos e restrepo,2
belen los alpes,7
la calera,56
la aguacatala,16
santa maria de los angeles,30
la mota,9
poblado santa maria de los angeles,7
la inferior,8
inferior con las palmas,1
belen la palma,27
ciudad del rio,32
seleccione,3
rosales,4
san joaquin,11
centro de la ciudad,3
loma del campestre,15
belen fatima,9
visitacion,1
milla de oro,28
poblado la calera,7
alameda,3
las santas,25
las palmas,85
loma de san julian,14
poblado el guamal,1
san lucas el poblado,1
cola del zorro,6
la candelaria,4
vizcaya,23
la floresta,23
poblado vizcaya,2
simon bolivar,12
aranjuez,15
villa hermosa,10
las lomas,27
el velodromo,2
floresta sta lucia,1
robledo kenedy,1
belen alameda,1
floresta,12
estadio,27
buenos aires,39
la concha,16
belen los alpes,3
altos del poblado,52
lalinde,32
el poblado castropol,8
loma televida,6
alfonso lopez,3
las lomas 1,3
poblado castropol,5
barrio santa fe,1
los pinos,1
loma de los gonzalez,35
trinidad,3
calazans,2
manrique,12
ciudad del rio,43
santa lucia,9
vegas del poblado,2
santa teresita,2
poblado la florida,1
el velodromo,11
poblado san lucas,3
la america,13
prado centro,7
belen las acacias,1
loma lalinde,2
envigado,4
poblado el tesoro,6
manrique central,11
el castillo,5
lleras,1
simon bolivar,31
benedictinos,1
belen rodeo alto,1
santafe,1
la visitacin,2
el diamante 2,2
bolivariana,1
barrio colombia,3
poblado altos delpoblado,1
zuñiga,3
laureles occidente,2
loma de las brujas,1
la loma del indio,26
poblado provenza,1
los gonzalez,3
astorga,10
la intermedia,1
castropol poblado,1
prado ,9
loma san julian,3
castilla,8
alejandria poblado,1
poblado altos del poblado,1
el nogal,5
loma de los parras,1
nan,0
san fernando plaza,1
el country,2
poblado milla de oro,1
la america,25
el poblado i,1
loma benedictinos,1
los balsos 1,4
el estadio,2
poblado campestre,2
san julian,1
belen rincon,4
florencia,1
la pilarica,46
san german,5
tricentenario,3
belen aliadas,1
poblado los balsos 2,2
belen la gloria,2
robledo palenque,2
robledo pajarito,9
calasania,1
lopez de mesa,3
america,4
la almeria,5
pajarito,7
robledo la campiña,11
san german,38
el rodeo,3
campo amor,4
las mercedes,1
20 de julio,2
belen porvenir,1
loma del indio,35
suroccidental santa fe,1
belen san bernardo,4
san antonio de prado,20
el poblado ciudad del rio,1
cordoba,7
belen las playas,4
la colina,1
enciso,2
san diego,18
belen la mota,1
belen alameda,1
el danubio,3
cristo rey,10
san pablo,6
prado,7
andalucia,1
san cristobal,5
belen rincon,3
las vegas,3
vereda la esperanza,1
pilarica,1
barrio cristobal,10
bello,7
chimeneas,1
manrique oriental,1
granada,1
la pradera,3
el pesebre,1
loma del encierro,4
cordoba noroccidente,1
la palma,14
villa carlota,1
santa fe,5
loma el encierro,3
barrio cristobal,6
cristorey,3
4 rosales belen la mota guayabal itagui la estrella,1
bello horizonte,3
barrio cordoba,1
las violetas,1
trapiche,1
san antonio del prado,6
el poblado campestre,1
las granjas,2
aliadas,1
villanueva,1
lopez de mesa,1
urbanizacion plaza mayorca itagi,1
la estrella,1
