barrio, Venta
la milagrosa,66
oviedo,35
castropol,515
el poblado,2083
florida nueva,164
conquistadores,365
aguacatala,30
los parra,50
poblado,536
patio bonito,126
santa m de los angeles,111
manila,32
loma los gonzalez,69
san lucas,283
la tomatera,72
belen aliadas,6
la florida,48
los balsos,373
los colores,313
la linde,40
el diamante,36
el campestre,155
alejandría,107
medellin,10
belen miravalle,8
belen buena vista,0
loma de los bernal,433
belen las playas,3
belen parque,5
laureles,1580
la castellana,244
belen rosales,66
12 de octubre,5
rodeo alto,288
calasanz,654
el salvador,24
salvador,2
transv inferior,22
san javier,93
belen la gloria,1
san lucas poblado,4
belen la nubia,2
los naranjos,27
belen,107
provenza,43
santa mónica,84
guayabal,46
el tesoro,262
loma de los parra,21
boston,172
transversal inferior,14
santa lucia,6
velodromo,74
robledo,601
la frontera,68
malibu,2
santa maría de los ángeles,211
suramericana,55
santa monica,24
alejandria,18
belen,244
carlos e restrepo,32
belen los alpes,27
la calera,103
la aguacatala,51
santa maria de los angeles,64
la mota,68
poblado santa maria de los angeles,16
la inferior,5
inferior con las palmas,0
belen la palma,104
ciudad del río,100
seleccione,4
rosales,12
san joaquin,52
centro de la ciudad,10
loma del campestre,25
belen fatima,35
visitación,0
milla de oro,45
poblado la calera,12
alameda,6
las santas,63
las palmas,212
loma de san julian,23
poblado el guamal,0
san lucas el poblado,1
cola del zorro,9
la candelaria,18
vizcaya,46
la floresta,86
poblado vizcaya,2
simon bolivar,46
aranjuez,54
villa hermosa,52
las lomas,65
el velodromo,8
floresta sta lucia,0
robledo kenedy,1
belen alameda,12
floresta,15
estadio,132
buenos aires,201
la concha,18
belen los alpes,5
altos del poblado,121
lalinde,62
el poblado castropol,4
loma televida,9
alfonso lopez,6
las lomas 1,3
poblado castropol,24
barrio santa fe,0
los pinos,0
loma de los gonzalez,65
trinidad,0
calazans,16
manrique,35
ciudad del rio,53
santa lucía,19
vegas del poblado,0
santa teresita,12
poblado la florida,0
el velódromo,46
poblado san lucas,17
la america,33
prado centro,35
belen las acacias,0
loma lalinde,1
envigado,48
poblado el tesoro,1
manrique central,12
el castillo,9
lleras,0
simón bolivar,131
benedictinos,0
belen rodeo alto,6
santafe,1
la visitacin,6
el diamante 2,5
bolivariana,4
barrio colombia,10
poblado altos delpoblado,1
zuñiga,5
laureles occidente,22
loma de las brujas,5
la loma del indio,26
poblado provenza,5
los gonzalez,6
astorga,19
la intermedia,0
castropol poblado,10
prado ,23
loma san julian,6
castilla,61
alejandria poblado,3
poblado altos del poblado,2
el nogal,29
loma de los parras,2
nan,0
san fernando plaza,0
el country,4
poblado milla de oro,5
la america,132
